ori_city,dest_city,laneRequest,ship_date,rpm_est_mean
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 11, 2023",15.874704670496289
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 11, 2023",7.270695073034792
Chicago,Atlanta,zip3:606-zip3:303,"Jan 11, 2023",7.169972794359181
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 11, 2023",7.115429072525076
Chicago,Chicago,zip3:606-zip3:606,"Jan 11, 2023",28.888511931687017
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 11, 2023",6.968397143506094
Fort Worth,Houston,zip3:761-zip3:770,"Jan 11, 2023",5.750614678106892
Fort Worth,Houston,zip3:761-zip3:772,"Jan 11, 2023",5.656934514522929
Houston,Dallas,zip3:770-zip3:752,"Jan 11, 2023",8.292725056707152
Houston,Dallas,zip3:770-zip3:753,"Jan 11, 2023",8.117896764466593
Houston,Laredo,zip3:770-zip3:780,"Jan 11, 2023",5.750593945725795
Houston,San Antonio,zip3:770-zip3:782,"Jan 11, 2023",7.577496353904918
Houston,Dallas,zip3:772-zip3:752,"Jan 11, 2023",8.454163876198853
Houston,Dallas,zip3:772-zip3:753,"Jan 11, 2023",8.150101458931609
Houston,Laredo,zip3:772-zip3:780,"Jan 11, 2023",5.703809267737935
Houston,San Antonio,zip3:772-zip3:782,"Jan 11, 2023",7.791430046940603
Fort Collins,Phoenix,zip3:805-zip3:850,"Jan 11, 2023",5.230409527115553
Los Angeles,Phoenix,zip3:900-zip3:850,"Jan 11, 2023",7.008862649557399
Van Nuys,Phoenix,zip3:914-zip3:850,"Jan 11, 2023",6.113021976045285
Boston,Edison,zip3:021-zip3:088,"Jan 12, 2023",7.542605276362439
Boston,Edison,zip3:022-zip3:088,"Jan 12, 2023",7.316224614470076
Elizabeth,Atlanta,zip3:072-zip3:303,"Jan 12, 2023",5.177454031215165
Atlanta,Dallas,zip3:303-zip3:752,"Jan 12, 2023",4.268531660952896
Atlanta,Dallas,zip3:303-zip3:753,"Jan 12, 2023",4.547528972529152
Jacksonville,Orlando,zip3:322-zip3:328,"Jan 12, 2023",10.557866331792933
Jacksonville,Tampa,zip3:322-zip3:336,"Jan 12, 2023",8.922605567425238
Memphis,Milwaukee,zip3:381-zip3:532,"Jan 12, 2023",5.169548790324478
Cleveland,Grand Prairie,zip3:441-zip3:750,"Jan 12, 2023",4.568843404792659
Indianapolis,Cincinnati,zip3:462-zip3:452,"Jan 12, 2023",13.623505801198132
Minneapolis,Chicago,zip3:554-zip3:606,"Jan 12, 2023",6.563931336331896
Chicago,Atlanta,zip3:606-zip3:303,"Jan 12, 2023",7.157199544714922
Chicago,Minneapolis,zip3:606-zip3:554,"Jan 12, 2023",6.34498540151977
Chicago,Chicago,zip3:606-zip3:606,"Jan 12, 2023",29.101476463384973
Saint Louis,Chicago,zip3:631-zip3:606,"Jan 12, 2023",7.301132172686817
Fort Worth,Houston,zip3:761-zip3:770,"Jan 12, 2023",5.371364128562314
Fort Worth,Houston,zip3:761-zip3:772,"Jan 12, 2023",5.226223451346204
Houston,Dallas,zip3:770-zip3:752,"Jan 12, 2023",7.120421173522082
Houston,Dallas,zip3:770-zip3:753,"Jan 12, 2023",7.184231964883779
Houston,Laredo,zip3:770-zip3:780,"Jan 12, 2023",6.195688897346548
Houston,San Antonio,zip3:770-zip3:782,"Jan 12, 2023",7.378244925654801
Houston,Dallas,zip3:772-zip3:752,"Jan 12, 2023",7.325071972722883
Houston,Dallas,zip3:772-zip3:753,"Jan 12, 2023",7.209788377502843
